Number,Name,x,y
1,C1,108.479,-140.262
2,C2,-52.4516,79.8157
3,C3,67.0546,-52.9878
4,C4,-116.923,-49.0917
5,C5,28.61,9.3508
6,C6,-18.6759,162.86
7,C7,-16.4905,61.4481
8,C8,-6.75513,-37.9598
9,C9,97.9494,58.6651
10,C10,-131.824,47.6445
11,C11,-86.7239,48.9804
12,C12,142.354,122.562
13,C13,-1.19208,-92.5061
14,C14,32.6829,-68.3499
15,C15,-39.14,13.6922
16,C16,-182.388,3.78485
17,C17,35.2657,80.8176
18,C18,137.785,64.2311
19,C19,-41.6235,-45.1955
20,C20,45.7958,-21.5959
21,C21,146.229,14.9167
22,C22,170.368,-49.537
23,C23,71.0282,-97.4041
24,C24,-43.7097,129.353
25,C25,94.8698,134.028
26,C26,-81.9556,154.622
27,C27,9.53665,116.328
28,C28,25.6297,-161.747
29,C29,-45.8951,-106.755
30,C30,61.9882,111.764
31,C31,98.3467,-74.695
32,C32,63.379,168.982
33,C33,-58.6107,-150.169
34,C34,177.322,61.782
35,C35,-75.9952,-65.7895
36,C36,-129.937,-106.532
37,C37,70.7302,6.79046
38,C38,-108.777,-2.11506
39,C39,65.2665,-164.975
40,C40,-181.097,54.3237
41,C41,-75.2998,15.1394
42,C42,186.759,25.7147
43,C43,-184.276,-58.2198
44,C44,51.5575,37.8485
45,C45,-60.6968,-187.127
46,C46,-157.156,95.2891
47,C47,144.242,-114.993
48,C48,-159.838,-24.8241
49,C49,11.7221,193.695
50,C50,175.733,-94.8438
51,C51,32.2855,145.049
52,C52,-19.9674,-138.926
53,C53,-109.572,99.8531
54,C54,105.499,23.2657
55,C55,198.482,-15.1394
56,C56,-149.209,-76.9214
57,C57,39.14,-117.553
58,C58,-90.2008,-122.896
59,C59,-2.9802,26.7166
60,C60,123.281,-36.29
61,C61,-125.963,-148.611
62,C62,-95.8632,-169.094
63,C63,-75.8958,-26.4939
64,C64,-119.506,146.941
65,C65,-52.4516,188.24
66,C66,-8.14589,-192.582
67,C67,-144.242,7.68101
68,C68,98.8434,173.546
69,C69,111.46,99.8531
70,C70,-22.1528,101.078
71,C71,141.162,-77.1441
72,C72,170.07,100.521
73,C73,38.544,-196.701
74,C74,-166.494,-107.757
75,C75,89.1081,-24.3789
76,C76,193.316,-161.858
77,C77,198.581,-198.816
78,C78,-187.554,235.996
79,C79,132.52,-206.163
80,C80,-280.04,97.2928
81,C81,79.2734,-291.767
82,C82,-131.824,-216.293
83,C83,281.53,139.594
84,C84,-163.713,-191.914
85,C85,199.773,175.55
86,C86,-84.5384,-240.783
87,C87,-229.178,-82.71
88,C88,54.6371,-248.019
89,C89,-146.328,207.61
90,C90,-289.576,55.5482
91,C91,-164.408,-238.668
92,C92,-267.622,18.2563
93,C93,-119.009,283.752
94,C94,278.848,-125.902
95,C95,-227.191,61.5594
96,C96,-255.701,160.856
97,C97,94.1744,222.527
98,C98,263.649,49.203
99,C99,118.115,-257.926
100,C100,115.235,-175.327
101,C101,-63.677,278.743
102,C102,-102.221,218.074
103,C103,243.085,-102.859
104,C104,167.785,241.34
105,C105,-42.6169,232.323
106,C106,-231.164,195.476
107,C107,241.993,95.957
108,C108,-216.661,-36.9579
109,C109,137.089,258.594
110,C110,53.9417,262.824
111,C111,-181.296,-140.596
112,C112,10.5301,-247.796
113,C113,-107.486,-274.624
114,C114,-218.846,145.939
115,C115,-276.066,-117.553
116,C116,-161.328,131.579
117,C117,157.057,-167.09
118,C118,-20.4641,301.452
119,C119,223.913,146.607
120,C120,212.687,-69.9083
121,C121,-231.264,109.649
122,C122,12.8149,264.383
123,C123,177.024,144.158
124,C124,280.835,-10.7979
125,C125,-200.369,-201.933
126,C126,246.165,-161.19
127,C127,-241.496,-199.038
128,C128,-214.078,-168.537
129,C129,-270.9,-76.8101
130,C130,-40.1334,-274.735
131,C131,225.005,63.3405
132,C132,168.978,-222.638
133,C133,235.833,196.589
134,C134,92.1876,275.848
135,C135,-278.649,-39.2956
136,C136,305.173,-68.3499
137,C137,-180.203,190.467
138,C138,26.0271,313.252
139,C139,-131.725,241.562
140,C140,-215.568,-130.689
141,C141,235.635,-201.821
142,C142,-20.6627,-231.544
143,C143,169.474,-258.149
144,C144,295.537,31.8372
145,C145,219.244,-131.802
146,C146,172.852,204.716
147,C147,249.94,9.79607
148,C148,-3.9736,229.317
149,C149,202.356,223.863
150,C150,205.634,109.093
151,C151,-309.345,23.4883
152,C152,-319.577,-86.8288
153,C153,416.235,-63.2292
154,C154,-382.956,-119.668
155,C155,64.2731,394.292
156,C156,86.8233,-369.022
157,C157,-168.083,-347.761
158,C158,-40.8288,-356.109
159,C159,388.619,-143.824
160,C160,-342.624,-187.795
161,C161,-41.9215,418.114
162,C162,-256.198,223.64
163,C163,319.08,-226.089
164,C164,208.813,-332.399
165,C165,413.752,14.9167
166,C166,89.8035,368.132
167,C167,147.321,-292.212
168,C168,-334.279,110.762
169,C169,330.703,-133.471
170,C170,-346.399,149.39
171,C171,173.448,-315.812
172,C172,136.295,-338.521
173,C173,10.8281,-422.01
174,C174,268.02,-244.234
175,C175,-172.951,360.006
176,C176,-309.742,201.599
177,C177,-100.93,-364.236
178,C178,-322.756,-17.2544
179,C179,2.4835,374.7
180,C180,323.551,134.807
181,C181,328.716,64.565
182,C182,-304.676,142.488
183,C183,229.972,351.211
184,C184,-211.396,-356.666
185,C185,-255.006,-235.996
186,C186,-327.624,62.0047
187,C187,342.525,-88.1646
188,C188,376.4,2.11506
189,C189,357.227,147.498
190,C190,402.625,64.6763
191,C191,42.4182,-335.182
192,C192,-295.239,-273.845
193,C193,-73.2137,396.741
194,C194,-214.475,-294.105
195,C195,208.018,323.159
196,C196,259.774,265.718
197,C197,9.33797,-322.269
198,C198,377.989,-57.6632
199,C199,-336.465,238.779
200,C200,249.84,-62.2273
201,C201,-103.413,-411.88
202,C202,-73.313,-321.823
203,C203,-408.387,3.33957
204,C204,84.0417,-405.201
205,C205,-354.545,15.1394
206,C206,92.0883,-330.283
207,C207,150.202,421.454
208,C208,108.976,435.814
209,C209,155.467,368.243
210,C210,120.599,347.983
211,C211,121.394,395.405
212,C212,185.369,391.064
213,C213,-433.222,-77.7007
214,C214,-362.79,-79.7044
215,C215,-421.401,-32.0599
216,C216,-438.686,-126.013
217,C217,-466.104,-98.1834
218,C218,-390.903,-54.8803
219,C219,318.186,-344.644
220,C220,282.225,-326.499
221,C221,286.298,-277.852
222,C222,250.238,-345.312
223,C223,310.339,-304.68
224,C224,241.297,-307.908
225,E1-1,-167.09,505.945
226,E1-2,-200.667,535.11
227,E1-3,-169.772,551.92
228,E1-4,-229.972,556.15
229,E1-5,-144.341,581.085
230,E1-6,-202.157,611.475
231,E2-1,-682.169,407.65
232,E2-2,-725.878,441.602
233,E2-3,-613.326,455.406
234,E2-4,-671.837,456.519
235,E2-5,-715.348,487.243
236,E2-6,-644.121,491.919
237,E3-1,-1132.18,-113.879
238,E3-2,-1096.32,-110.874
239,E3-3,-1179.07,-75.4743
240,E3-4,-1103.97,-68.6838
241,E3-5,-1140.42,-65.4556
242,E3-6,-1131.19,-28.3863
243,E4-1,-1231.92,-1067.99
244,E4-2,-1191.88,-1058.87
245,E4-3,-1187.61,-1017.46
246,E4-4,-1147.88,-1009.66
247,E4-5,-1245.03,-999.645
248,E4-6,-1213.14,-958.791
249,N1-1,-426.964,-477.336
250,N1-2,-372.426,-473.996
251,N1-3,-336.862,-466.538
252,N1-4,-393.685,-445.721
253,N1-5,-358.022,-435.591
254,N1-6,-417.626,-400.526
255,N2-1,-24.1396,-849.921
256,N2-2,-101.824,-849.364
257,N2-3,-66.9552,-833.779
258,N2-4,-101.824,-813.742
259,N2-5,-24.835,-798.936
260,N2-6,-70.4321,-786.58
261,N3-1,662.996,-982.613
262,N3-2,623.657,-982.168
263,N3-3,580.444,-962.464
264,N3-4,639.353,-949.996
265,N3-5,589.385,-919.384
266,N3-6,642.929,-899.012
267,N4-1,1477.49,-598.34
268,N4-2,1463.58,-564.387
269,N4-3,1498.15,-556.15
270,N4-4,1430.7,-528.097
271,N4-5,1496.56,-516.743
272,N4-6,1457.52,-485.796
273,S1-1,587.597,-159.075
274,S1-2,550.444,-133.138
275,S1-3,512.992,-126.236
276,S1-4,586.802,-123.898
277,S1-5,561.371,-81.1516
278,S1-6,599.617,-73.0253
279,S2-1,758.462,314.699
280,S2-2,697.964,328.836
281,S2-3,731.839,343.085
282,S2-4,674.619,369.69
283,S2-5,766.012,378.707
284,S2-6,736.21,409.32
285,S3-1,548.655,968.809
286,S3-2,514.582,1012.22
287,S3-3,460.64,1020.57
288,S3-4,563.06,1026.03
289,S3-5,479.713,1055.97
290,S3-6,524.516,1066.21
291,S4-1,-256.596,1508.37
292,S4-2,-308.848,1516.16
293,S4-3,-226.793,1535.76
294,S4-4,-274.377,1555.68
295,S4-5,-254.509,1588.41
296,S4-6,-310.537,1589.97
297,E5-1,-566.139,-2140.11
298,E5-2,-510.31,-2108.49
299,E5-3,-569.418,-2102.04
300,E5-4,-611.736,-2088.79
301,E5-5,-534.35,-2065.3
302,E5-6,-563.457,-2031.13
303,E6-1,728.064,-2786.54
304,E6-2,768.296,-2771.62
305,E6-3,721.209,-2730.77
306,E6-4,781.211,-2719.75
307,E6-5,681.473,-2711.73
308,E6-6,757.568,-2687.24
309,E7-1,2604.7,-2665.76
310,E7-2,2640.26,-2652.4
311,E7-3,2570.33,-2644.94
312,E7-4,2672.25,-2635.03
313,E7-5,2603.21,-2598.19
314,E7-6,2637.78,-2580.49
315,E8-1,4691.44,-1293.86
316,E8-2,4743.69,-1273.49
317,E8-3,4647.63,-1265.92
318,E8-4,4728.19,-1230.52
319,E8-5,4691.73,-1227.51
320,E8-6,4643.36,-1220.5
321,E9-1,6125.61,1613.01
322,E9-2,6162.56,1643.96
323,E9-3,6122.63,1661.88
324,E9-4,6194.05,1684.15
325,E9-5,6162.07,1699.51
326,E9-6,6115.77,1699.62
327,S5-1,-1521.99,1468.97
328,S5-2,-1529.14,1516.61
329,S5-3,-1466.36,1537.09
330,S5-4,-1568.28,1540.88
331,S5-5,-1505.6,1547.22
332,S5-6,-1547.32,1572.49
333,S6-1,-2732.85,692.849
334,S6-2,-2681.29,693.963
335,S6-3,-2706.52,719.566
336,S6-4,-2663.81,748.732
337,S6-5,-2748.74,751.96
338,S6-6,-2702.25,769.66
339,S7-1,-3556.28,-1004.65
340,S7-2,-3603.26,-974.932
341,S7-3,-3520.71,-968.475
342,S7-4,-3555.98,-945.321
343,S7-5,-3531.74,-914.931
344,S7-6,-3597.2,-908.92
345,S8-1,-3454.45,-3492.41
346,S8-2,-3416.31,-3490.07
347,S8-3,-3381.74,-3453.78
348,S8-4,-3412.93,-3436.75
349,S8-5,-3450.88,-3424.51
350,S8-6,-3421.07,-3390.78
351,S9-1,-1645.77,-6235.42
352,S9-2,-1693.75,-6217.61
353,S9-3,-1646.86,-6191.23
354,S9-4,-1702.69,-6177.98
355,S9-5,-1602.46,-6155.05
356,S9-6,-1680.14,-6145.59
357,N5-1,2051.57,509.062
358,N5-2,2094.09,518.413
359,N5-3,2029.42,543.682
360,N5-4,2069.16,558.933
361,N5-5,2120.32,579.527
362,N5-6,2063.99,594.777
363,N6-1,1975.58,1966.78
364,N6-2,2031.9,1969.23
365,N6-3,1993.86,1997.73
366,N6-4,1955.51,2000.51
367,N6-5,2033.69,2004.86
368,N6-6,2001.31,2044.04
369,N7-1,946.115,3552.3
370,N7-2,906.876,3564.88
371,N7-3,980.189,3565.1
372,N7-4,1007.11,3590.04
373,N7-5,969.858,3604.18
374,N7-6,934.194,3616.87
375,N8-1,-1281.98,4660.04
376,N8-2,-1208.27,4684.97
377,N8-3,-1300.76,4690.65
378,N8-4,-1257.65,4706.34
379,N8-5,-1291.22,4727.5
380,N8-6,-1228.24,4740.52
381,N9-1,-4480.14,4476.69
382,N9-2,-4453.52,4506.53
383,N9-3,-4532.49,4512.43
384,N9-4,-4490.97,4523.67
385,N9-5,-4467.32,4559.85
386,N9-6,-4521.66,4563.19
387,E10-1,6982.52,-4123.37
388,E10-2,6943.87,-4104.78
389,E10-3,7039.64,-4099.99
390,E10-4,6985.1,-4066.93
391,E10-5,6955.7,-4032.75
392,E10-6,7028.11,-4027.97
393,E11-1,9905.2,-3791.97
394,E11-2,9850.96,-3783.06
395,E11-3,9873.81,-3742.66
396,E11-4,9950.1,-3736.76
397,E11-5,9853.25,-3710.48
398,E11-6,9919.71,-3701.36
399,E12-1,10207.8,-9137.84
400,E12-2,10165.2,-9106.78
401,E12-3,10108.9,-9099.77
402,E12-4,10199.9,-9081.07
403,E12-5,10162,-9063.48
404,E12-6,10121.6,-9061.92
405,E13-1,17450.1,-658.897
406,E13-2,17368.7,-655.892
407,E13-3,17412.6,-645.094
408,E13-4,17370.8,-616.039
409,E13-5,17436,-611.921
410,E13-6,17406,-590.547
411,E14-1,22628.1,2860.34
412,E14-2,22573.9,2900.31
413,E14-3,22609.8,2903.53
414,E14-4,22668.2,2918.23
415,E14-5,22597,2950.84
416,E14-6,22657.6,2952.18
417,E15-1,24975.1,14182
418,E15-2,24948.3,14208.1
419,E15-3,25014.3,14227.6
420,E15-4,24950,14247.7
421,E15-5,24988.4,14253.7
422,E15-6,24906.8,14254.3
423,E16-1,33416.7,14935.7
424,E16-2,33373,14953.3
425,E16-3,33477.2,14962.2
426,E16-4,33393.5,14988.1
427,E16-5,33432,14998.9
428,E16-6,33394.4,15025.1
429,S10-1,-7051.06,-4333.31
430,S10-2,-7033.28,-4296.8
431,S10-3,-6994.24,-4293.35
432,S10-4,-7065.86,-4276.76
433,S10-5,-7027.82,-4246.37
434,S10-6,-7076.69,-4239.25
435,S11-1,-9696.39,-8306.18
436,S11-2,-9658.84,-8303.73
437,S11-3,-9639.17,-8269.89
438,S11-4,-9755.4,-8268.22
439,S11-5,-9705.63,-8253.75
440,S11-6,-9707.52,-8217.01
441,S12-1,-14170.1,-4541.04
442,S12-2,-14221.9,-4525.56
443,S12-3,-14259.9,-4511.09
444,S12-4,-14195,-4499.96
445,S12-5,-14218.8,-4464.67
446,S12-6,-14180.4,-4451.31
447,S13-1,-10906.8,-13923.7
448,S13-2,-10941.6,-13917.2
449,S13-3,-10905.4,-13884.7
450,S13-4,-10959.7,-13867.6
451,S13-5,-10871.5,-13854.3
452,S13-6,-10928.6,-13850.9
453,S14-1,-9139.59,-20932.1
454,S14-2,-9166.51,-20902.4
455,S14-3,-9120.61,-20889.1
456,S14-4,-9084.06,-20877.2
457,S14-5,-9172.47,-20863.1
458,S14-6,-9122.9,-20829.2
459,S15-1,-2916.13,-26642.1
460,S15-2,-2959.94,-26611
461,S15-3,-2917.12,-26606.7
462,S15-4,-2875.2,-26591
463,S15-5,-2972.65,-26578.2
464,S15-6,-2918.12,-26545.4
465,S16-1,-3922.44,-33732.7
466,S16-2,-3970.62,-33717.9
467,S16-3,-3883.4,-33708.1
468,S16-4,-3937.74,-33689.7
469,S16-5,-3984.04,-33682.5
470,S16-6,-3912.81,-33664.8
471,N10-1,-152.586,8200.09
472,N10-2,-187.852,8215.9
473,N10-3,-223.317,8221.91
474,N10-4,-146.825,8241.72
475,N10-5,-182.488,8254.97
476,N10-6,-210.502,8283.02
477,N11-1,4046.62,11438.4
478,N11-2,4011.06,11454.7
479,N11-3,4051.09,11478.1
480,N11-4,4017.31,11490.8
481,N11-5,4088.74,11496.1
482,N11-6,4042.25,11537.1
483,N12-1,-3954.03,12435.7
484,N12-2,-3874.96,12442.8
485,N12-3,-3920.06,12462.4
486,N12-4,-3883.11,12495.8
487,N12-5,-3971.22,12499
488,N12-6,-3917.68,12503.5
489,N13-1,-8387.78,15551.4
490,N13-2,-8347.35,15562.2
491,N13-3,-8409.54,15581.3
492,N13-4,-8368.51,15602.9
493,N13-5,-8406.66,15626.1
494,N13-6,-8365.33,15640.2
495,N14-1,-13834.6,18133.9
496,N14-2,-13803.5,18150.7
497,N14-3,-13832.5,18182.6
498,N14-4,-13870.1,18185.3
499,N14-5,-13808.8,18217.4
500,N14-6,-13864.5,18228.2
501,N15-1,-21787.8,13308.9
502,N15-2,-21735.7,13324.8
503,N15-3,-21820.1,13347.8
504,N15-4,-21779.2,13355.6
505,N15-5,-21747.6,13371.7
506,N15-6,-21817.5,13393.6
507,N16-1,-30994.2,24863.1
508,N16-2,-30927.2,24887.7
509,N16-3,-30983.4,24907.3
510,N16-4,-30936.9,24925.5
511,N16-5,-31019,24931.1
512,N16-6,-30980.6,24947.6
