Number,Name,x,y
1,M001,379.327,3489.29
2,M002,-2716.85,2914.33
3,M003,2887.2,2914.33
4,M004,-1380.49,1975.36
5,M005,665.169,1083.91
6,M006,3767.29,979.051
7,M007,-810.047,819.308
8,M008,1681.7,685.168
9,M009,-3516.91,655.224
10,M010,-1745.78,484.349
11,M011,-96.6812,443.05
12,M012,545.882,392.733
13,M013,-265.61,367.13
14,M014,256.164,330.951
15,M015,1285.59,313.474
16,M016,331.379,310.58
17,M017,-13.772,233.659
18,M018,-287.507,217.072
19,M019,125.584,193.25
20,M020,442.502,188.129
21,M021,34.0136,129.019
22,M022,284.531,103.749
23,M023,-3.5698,91.9495
24,M024,-544.131,87.7194
25,M025,-236.851,73.6932
26,M026,86.2111,43.971
27,M027,470.907,34.8428
28,M028,373.001,29.8335
29,M029,18.6338,13.3583
30,M030,76.8511,8.34893
31,M031,295.575,-3.45089
32,M032,53.0589,-8.68288
33,M033,190.702,-30.3901
34,M034,-38.3681,-37.4032
35,M035,-16.8537,-67.682
36,M036,255.733,-69.797
37,M037,365.488,-70.3536
38,M038,473.003,-75.363
39,M039,66.85,-80.1497
40,M040,182.06,-84.3798
41,M041,-210.561,-112.098
42,M042,169.006,-137.034
43,M043,224.955,-153.175
44,M044,117.411,-156.069
45,M045,321.636,-178.556
46,M046,-4.37372,-187.795
47,M047,465.031,-244.568
48,M048,-276.243,-245.57
49,M049,956.227,-285.311
50,M050,173.13,-297.444
51,M051,-492.603,-302.788
52,M052,-8.35505,-320.599
53,M053,298.217,-354.885
54,M054,338.643,-378.039
55,M055,-202.129,-447.836
56,M056,58.3131,-498.486
57,M057,-764.329,-555.927
58,M058,-1965.25,-630.288
59,M059,-507.572,-936.638
60,M060,94.48,-1093.04
61,M061,3501.71,-1630.6
62,M062,-3331.37,-1630.6
63,M063,68.6779,-2116.4
64,M064,-1354.33,-2296.96
65,SKA001,613.661,-32.2825
66,SKA002,20.4809,162.08
67,SKA003,-62.9739,226.423
68,SKA004,74534.5,50137.2
69,SKA005,-53018.1,49673.4
70,SKA006,-31696.5,49459.1
71,SKA007,-15053.9,45035
72,SKA008,-78700.7,43404.4
73,SKA009,-2889.22,38237.1
74,SKA010,3657.26,30471.9
75,SKA011,68374.1,24226.2
76,SKA012,9987.48,22785.1
77,SKA013,12470.8,15791.9
78,SKA014,11925.8,10050.7
79,SKA015,-6583.17,8283.91
80,SKA016,-10423.2,7924.47
81,SKA017,-3509.38,7796.45
