Number Label Degrees_Longitude Degrees_Latitude
0 Array_Centre 21.443 -30.713
1 M001 21.4469635 -30.681655 
2 M002 21.4146123 -30.68682 
3 M003 21.4731677 -30.68682 
4 M004 21.4285756 -30.695255 
5 M005 21.4499502 -30.703263 
6 M006 21.4823636 -30.704205 
7 M007 21.434536 -30.70564 
8 M008 21.4605717 -30.706845 
9 M009 21.4062526 -30.707114 
10 M010 21.4247587 -30.708649 
11 M011 21.4419898 -30.70902 
12 M012 21.4487038 -30.709472 
13 M013 21.4402247 -30.709702 
14 M014 21.4456766 -30.710027 
15 M015 21.4564328 -30.710184 
16 M016 21.4464625 -30.71021 
17 M017 21.4428561 -30.710901 
18 M018 21.4399959 -30.71105 
19 M019 21.4443122 -30.711264 
20 M020 21.4476236 -30.71131 
21 M021 21.4433554 -30.711841 
22 M022 21.445973 -30.712068 
23 M023 21.4429627 -30.712174 
24 M024 21.4373145 -30.712212 
25 M025 21.4405252 -30.712338 
26 M026 21.4439008 -30.712605 
27 M027 21.4479204 -30.712687 
28 M028 21.4468974 -30.712732 
29 M029 21.4431947 -30.71288 
30 M030 21.443803 -30.712925 
31 M031 21.4460884 -30.713031 
32 M032 21.4435544 -30.713078 
33 M033 21.4449926 -30.713273 
34 M034 21.4425991 -30.713336 
35 M035 21.4428239 -30.713608 
36 M036 21.4456721 -30.713627 
37 M037 21.4468189 -30.713632 
38 M038 21.4479423 -30.713677 
39 M039 21.4436985 -30.71372 
40 M040 21.4449023 -30.713758 
41 M041 21.4407999 -30.714007 
42 M042 21.4447659 -30.714231 
43 M043 21.4453505 -30.714376 
44 M044 21.4442268 -30.714402 
45 M045 21.4463607 -30.714604 
46 M046 21.4429543 -30.714687 
47 M047 21.447859 -30.715197 
48 M048 21.4401136 -30.715206 
49 M049 21.4529914 -30.715563 
50 M050 21.444809 -30.715672 
51 M051 21.4378529 -30.71572 
52 M052 21.4429127 -30.71588 
53 M053 21.446116 -30.716188 
54 M054 21.4465384 -30.716396 
55 M055 21.440888 -30.717023 
56 M056 21.4436093 -30.717478 
57 M057 21.4350137 -30.717994 
58 M058 21.4224655 -30.718662 
59 M059 21.4376965 -30.721414 
60 M060 21.4439872 -30.722819 
61 M061 21.4795886 -30.727648 
62 M062 21.4081913 -30.727648 
63 M063 21.4437176 -30.732012 
64 M064 21.4288489 -30.733634 
65 SKA001 21.449412 -30.71329 
66 SKA002 21.443214 -30.711544 
67 SKA003 21.442342 -30.710966 
68 SKA004 22.2217939 -30.262608 
69 SKA005 20.8890257 -30.266774 
70 SKA006 21.1118102 -30.268699 
71 SKA007 21.2857055 -30.308442 
72 SKA008 20.6206745 -30.32309 
73 SKA009 21.4128112 -30.369509 
74 SKA010 21.4812139 -30.439265 
75 SKA011 22.1574255 -30.495371 
76 SKA012 21.5473569 -30.508317 
77 SKA013 21.5733041 -30.571138 
78 SKA014 21.56761 -30.622713 
79 SKA015 21.374214 -30.638584 
80 SKA016 21.3340906 -30.641813 
81 SKA017 21.4063313 -30.642963 
82 SKA018 21.430449 -30.651906 
83 SKA019 21.2871238 -30.656278 
84 SKA020 21.4472571 -30.663055 
85 SKA021 22.0491848 -30.663947 
86 SKA022 21.5687373 -30.666963 
87 SKA023 21.4578392 -30.674663 
88 SKA024 21.4634453 -30.685568 
89 SKA025 21.2352359 -30.685611 
90 SKA026 21.466419 -30.693932 
91 SKA027 21.5519732 -30.698639 
92 SKA028 21.4286368 -30.701155 
93 SKA029 21.4344917 -30.701264 
94 SKA030 21.439049 -30.702356 
95 SKA031 21.4215593 -30.70258 
96 SKA032 21.4645868 -30.702805 
97 SKA033 21.4444697 -30.704982 
98 SKA034 21.4135728 -30.706149 
99 SKA035 21.4409894 -30.706517 
100 SKA036 21.4453007 -30.70782 
101 SKA037 21.4622289 -30.708744 
102 SKA038 21.4405906 -30.708913 
103 SKA039 21.4436864 -30.709254 
104 SKA040 21.4346288 -30.709314 
105 SKA041 21.4416387 -30.71069 
106 SKA042 21.4451202 -30.711168 
107 SKA043 21.4390904 -30.711278 
108 SKA044 21.4437639 -30.71128 
109 SKA045 21.4522796 -30.711729 
110 SKA046 21.4443592 -30.711825 
111 SKA047 21.4405425 -30.711918 
112 SKA048 21.4423558 -30.712025 
113 SKA049 21.4435744 -30.712107 
114 SKA050 21.4444375 -30.712193 
115 SKA051 21.4439168 -30.712207 
116 SKA052 21.4426256 -30.71221 
117 SKA053 21.4433231 -30.712317 
118 SKA054 21.4473345 -30.712406 
119 SKA055 21.4416585 -30.712409 
120 SKA056 21.4436675 -30.712428 
121 SKA057 21.4429691 -30.71245 
122 SKA058 21.4422514 -30.712485 
123 SKA059 21.4442278 -30.712544 
124 SKA060 21.4052401 -30.712547 
125 SKA061 21.445672 -30.712552 
126 SKA062 21.4432796 -30.712597 
127 SKA063 21.4352434 -30.712648 
