Number	Label	Degrees_Longitude	Degrees_Latitude
0	ArrayCentre	-107.64372935411765	33.88522456517469
1	m001	-107.64372935411765	33.88522456517469
2	m002	-107.64647510722445	33.88635471396512
3	m003	-107.65018980730203	33.88764561050792
4	m004	-107.65576934283777	33.88857208349047
5	m005	-107.66275362106221	33.888747925439276
6	m006	-107.67190993790308	33.88754504562176
7	m007	-107.68225076603208	33.88484558338794
8	m008	-107.6943427333516	33.87822341294914
9	m009	-107.70405676826398	33.868899314635435
10	m010	-107.71754096009636	33.85618616104253
11	m011	-107.72636013479037	33.83451439237295
12	m012	-107.73312015716901	33.81504758778564
13	m013	-107.73569212003221	33.78401798699882
14	m014	-107.7258449439926	33.749668375047484
15	m015	-107.70498953520432	33.7115626442011
16	m016	-107.65059508052136	33.87763290328672
17	m017	-107.65275262007694	33.87586034926734
18	m018	-107.65523729231295	33.87329238123347
19	m019	-107.65797534239015	33.86898780494474
20	m020	-107.66053583675146	33.86390860533004
21	m021	-107.6613042193505	33.85650894779493
22	m022	-107.660809550099	33.84622358792327
23	m023	-107.65717818705889	33.83515083779145
24	m024	-107.65028371032813	33.824689666638335
25	m025	-107.6376362211162	33.811482039559756
26	m026	-107.6221881937551	33.79779216338615
27	m027	-107.59300151639762	33.786417089759134
28	m028	-107.56100499535611	33.77893290512804
29	m029	-107.52323535573592	33.77793822342605
30	m030	-107.47816544173119	33.779617529615315
31	m031	-107.64399072706364	33.86988447369178
32	m032	-107.64268708936937	33.867650052014845
33	m033	-107.6402896265156	33.86461407642854
34	m034	-107.6365435478741	33.86152075295201
35	m035	-107.63133414335074	33.857909680539834
36	m036	-107.62348561503622	33.85485919891492
37	m037	-107.61273773386745	33.85197895678078
38	m038	-107.59930441837417	33.85194968582236
39	m039	-107.58290668286949	33.85450436649597
40	m040	-107.56355552892059	33.858197813416695
41	m041	-107.54021819113505	33.86904147908459
42	m042	-107.52039480185977	33.8846539505281
43	m043	-107.50031173464413	33.90524642186656
44	m044	-107.48175959122848	33.939377895619835
45	m045	-107.63304383688663	33.87268655255659
46	m046	-107.63002431863202	33.87309043065022
47	m047	-107.62559526296272	33.874135699141036
