Number,Name,x,y
1,m001,-322.494,792.448
2,m002,-576.256,918.255
3,m003,-919.569,1061.96
4,m004,-1435.23,1165.09
5,m005,-2080.71,1184.67
6,m006,-2926.94,1050.76
7,m007,-3882.64,750.26
8,m008,-5000.18,13.087
9,m009,-5897.95,-1024.86
10,m010,-7144.15,-2440.08
11,m011,-7959.22,-4852.56
12,m012,-8583.98,-7019.58
13,m013,-8821.68,-10473.8
14,m014,-7911.61,-14297.5
15,m015,-5984.15,-18539.4
16,m016,-957.024,-52.6479
17,m017,-1156.42,-249.967
18,m018,-1386.06,-535.83
19,m019,-1639.11,-1015.01
20,m020,-1875.75,-1580.42
21,m021,-1946.76,-2404.15
22,m022,-1901.04,-3549.1
23,m023,-1565.43,-4781.71
24,m024,-928.247,-5946.24
25,m025,240.632,-7416.5
26,m026,1668.34,-8940.44
27,m027,4365.77,-10206.7
28,m028,7322.88,-11039.8
29,m029,10813.5,-11150.6
30,m030,14978.9,-10963.6
31,m031,-346.65,-915.195
32,m032,-226.168,-1163.93
33,m033,-4.59501,-1501.89
34,m034,341.617,-1846.24
35,m035,823.07,-2248.22
36,m036,1548.43,-2587.79
37,m037,2541.75,-2908.42
38,m038,3783.25,-2911.68
39,m039,5298.73,-2627.29
40,m040,7087.16,-2216.14
41,m041,9244,-1009.04
42,m042,11076.1,728.928
43,m043,12932.1,3021.26
44,m044,14646.7,6820.74
45,m045,665.06,-603.271
46,m046,944.124,-558.311
47,m047,1353.46,-441.953
48,m048,1761.19,-239.74
49,m049,2308.34,125.903
50,m050,2854.17,682.027
51,m051,3486.05,1564.92
52,m052,3942.09,2814.12
53,m053,4017.88,4227.76
54,m054,4012.05,6104.13
55,m055,3694.53,8170.88
56,m056,2625.64,10588.6
57,m057,842.289,12901.1
58,m058,-2206.17,15597.4
59,m059,-5896.85,18114.2
60,m060,680.103,452.116
61,m061,725.796,722.78
62,m062,756.581,1102.48
63,m063,678.919,1636.56
64,m064,539,2269.96
65,m065,98.3684,3014.59
66,m066,-576.476,3803.02
67,m067,-1522.6,4598.01
68,m068,-2950.13,5303.09
69,m069,-4713.63,5785.85
70,m070,-6893.43,5870.37
71,m071,-9437.79,5621.99
72,m072,-12623.8,5023.78
73,m073,-15849.8,3171.98
74,m074,-19470.1,93.1105
75,m075,-50821.3,-352785
76,m076,336.748,-439268
77,m077,-28903.2,-393520
78,m078,-44126.1,24369.1
79,m079,-2477.81,-40951.4
80,m080,-60138.9,-16976.4
81,m081,-118803,-67521.1
82,m082,-105736,19441.5
83,m083,-367012,-235511
84,m084,13702.2,-84036.3
85,m085,186077,23987.9
86,m086,-85431.8,-221419
87,m087,22619.7,-94992.5
88,m088,229694,-131708
89,m089,144732,-75595.1
90,m090,154350,-110862
91,m091,219314,4437.92
92,m092,-1126.21,-67945.1
93,m093,30112.1,1797.01
94,m094,66688,-901.271
95,m095,-93713.4,-180628
96,m096,69229.8,37507.2
97,m097,113152,36406.8
98,m098,163028,52740.3
99,m099,107631,-22128.6
100,m100,152690,-38875.1
101,m101,336527,-130908
102,m102,47071.5,1435.91
103,m103,54315.2,-5760.34
104,m104,63276.6,-9317.78
105,m105,-28934.5,19467.5
106,m106,-31744.5,-5505.28
107,m107,-70243,25146.1
108,m108,-104745,-114239
109,m109,-3003.61,-31140.8
110,m110,39.5317,-60127.8
111,m111,-89716.2,-29977.6
112,m112,-75228.8,-283562
113,m113,263158,-2631.18
114,m114,452091,-103531
115,m115,484047,-73797
116,m116,600742,-376894
117,m117,512504,90384.6
118,m118,454421,-258695
119,m119,341432,-382138
120,m120,128842,187051
121,m121,12.2621,112.026
122,m122,-4.51115,-120.982
123,m123,-121.711,95.3184
124,m124,-182.394,-51.2025
125,m125,202.996,-88.577
126,m126,-11.981,-363.482
127,m127,-19.6223,-275.003
128,m128,-40.6947,-151.758
129,m129,-30.3098,-80.5033
130,m130,2.8894e-08,0
131,m131,37.9043,142.205
132,m132,-25.0502,231.911
133,m133,-46.1617,334.533
134,m134,-62.5253,-345.217
135,m135,77.3769,-386.241
136,m136,-95.9172,-208.618
137,m137,85.662,-278.381
138,m138,42.1026,-144.012
139,m139,-93.8209,-16.4332
140,m140,42.7196,-12.215
141,m141,-74.3944,104.45
142,m142,85.127,77.9913
143,m143,62.0975,222.214
144,m144,-121.02,337.071
145,m145,47.9744,259.839
146,m146,-92.4529,409.488
147,m147,45.2854,338.093
148,m148,-196.527,-302.529
149,m149,116.713,-308.925
150,m150,-134.242,-193.257
151,m151,146.133,-205.177
152,m152,-174.827,-89.3732
153,m153,141.858,-102.514
154,m154,-195.586,31.6751
155,m155,185.412,5.08907
156,m156,-175.985,157.549
157,m157,111.773,127.745
158,m158,-202.583,227.591
159,m159,153.45,255.013
160,m160,-187.305,312.715
161,m161,211.629,340.909
162,m162,-318.602,-290.71
163,m163,249.57,-264.872
164,m164,-246.788,-152.666
165,m165,255.681,-124.661
166,m166,-308.268,-32.8711
167,m167,293.278,-24.6347
168,m168,-299.328,69.8174
169,m169,264.662,56.2726
170,m170,-311.278,108.406
171,m171,229.378,170.474
172,m172,-295.727,269.086
173,m173,247.985,328.932
174,m174,-427.088,-139.077
175,m175,447.462,-184.709
176,m176,-422.708,-55.0063
177,m177,408.503,-102.479
178,m178,-443.804,-1.58996
179,m179,363.814,42.9036
180,m180,-434.26,169.062
181,m181,423.143,114.935
182,m182,-444.953,268.15
183,m183,373.136,196.623
184,m184,2.90184,143.314
185,m185,26.6892,-116.436
186,m186,-152.317,96.8939
187,m187,161.547,183.091
188,m188,316.255,-140.94
189,m189,11.5367,-332.514
190,m190,-20.232,394.626
191,m191,-376.651,-91.8388
192,m192,-185.406,-331.866
193,m193,-395.675,97.3287
